Site.Transect,Luetkea pectinata,Vaccinium ovalifolium,Cassiope mertensiana,Phyllodoce empetriformis,Abies lasiocarpa,Pilosella tristis,Erigeron glacialis,Vahlodea atropurpurea,Poa alpina,Poa arctica,Agrostis alpina,Agrostis humilis,Kalmia microphylla,Carex spectabilis,Caltha leptosepala,Valeriana stichensis,Lupinus arcticus,Phyllodoce glanduliflora,Potentilla flabellifolia,Arnica latifolia,Diphasiastrum alpinum,Juncus drummondii,Luzula piperi,Tsuga mertensiana,Salix barclayi,Carex nigricans,Carex pyrenaica,Veronica wormskjoldii,Epilobium anagallidifolium,Castilleja parviflora,Pulsatilla occidentalis,Tonestus lyallii,Gaultheria humifusa,Leptarrhena pyrolifolia,Penstemon procerus,Erythronium grandiflorum,Salix commutata,Antennaria media,Festuca brachyphylla,Danthonia intermedia,Schoenoplectus acutus,Sorbus sitchensis,Vaccinium membranaceum,Antennaria umbrinella,Antennaria rosea,Ranunculus eschscholtzii,Diphasiastrum sitchense,Bryophyta - sp. 1,Bryophyta - sp. 2,Bryophyta - sp. 3,bare soil/rock,soil with litter cover,Agrostis spp.,bare soil,litter,rock,Racomitrium elongatum,Bucklandiella sudetica,Polytricum spp,cryptogamic crust,Lophozia ventricosa,Dicranum pallidisetum,Rhytidiopsis robusta,Niphotricum ericoides,Ptych (bryo species 5),Hypnum spp,Barbilophozia hatcheri,Brachythecium spp,Niphotricum elongatum,Aulacomnium palustre,Rhytidiadelphus squarrosus,Polytrichum piliferum,Racomitrium spp.,Streblotrichum convolutum,Ceratodon purpureus,Carex incurviformis,Philonotis Fontana,Ditrichum,Pohlia spp.,Bryo sp. 6,Polytrichum sp 1,Carex nardina,Phyllodoce x intermedia,Solidago multiradiata,Micranthes tolmiei
1.1,15,22,15,46.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,71,135,125,71,4,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.5,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,90.5,16.5,0.5,2,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,22.5,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,220,221,196,355,70,2.5,2.5,0.5,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,0,0,0,0,0,0,3.5,70.5,36.5,0,0,0,0,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,175,125,110,285,9,9,4,5,0,0,0,0,30,1,1.5,0,0,0,0,0,0,0,0,16.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,9.5,60,0,0,6.5,1,0.5,70,0.5,5.5,3,27,0.5,1,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6,13.5,90,126,161,55.5,2,3.5,13.5,0,0,0.5,1,10.5,1,91,0,0,0,46.5,0,0,0,0,70,101,1,0,3.5,0,1,0,0,0,30.5,0,0,0,0,0,96,0,0,0,0,0,0,10,0,0,0,0,0,0,0,15,0,0,0,0,10,1,11.5,0,16,0,16,7.5,1.5,22,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7,81,166.5,181,285,10.5,0.5,0.5,1.5,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,10,0,0.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,10,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8,39,160,225,140,2,0.5,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,95,0,71,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9,121,125,0,80,0,2,0,1.5,0,0,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2.5,12.5,1,1,0,0,0,0,0,0,0,0,0,0
2.10.,10.5,245,0,136,0,0.5,0,0.5,0,0,0,0,0,0.5,0,1.5,1.5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,1.5,0.5,0,0.5,30,0,0,0,0,0,1.5,0,0,0,0,0,6,1.5,0,0,0,0,0,0,0,0,0,0
